,description,user_id,screen_name,friends_count,text,created_at,verified,tweet_id,followers_count,location,statuses_count,following,favourites_count,retweet_count,listed_count,date_of_tweet
10,Alex Morgan https://t.co/X737VeGWB0,2996488585,Haililovic,212,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Mon Jan 26 03:06:58 +0000 2015,False,694670674674204672,620,Los Angeles,22268,212,8545,3443,9,Tue Feb 02 23:56:09 +0000 2016
11,”oh why do we like to hurt so much?”,3034798464,un_apologize,341,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sat Feb 21 15:38:18 +0000 2015,False,694670666843312128,376,"Texas, USA",17598,341,10727,3443,10,Tue Feb 02 23:56:07 +0000 2016
12,"I am the Spud! Gamer, lifter and dimple veteran. Stay a while and listen =)",394510894,Spuddishgamer,162,What are your thoughts on the Fine Brothers React World situation?,Thu Oct 20 05:49:43 +0000 2011,False,694670661973741568,180,Youtube,3769,162,2571,0,8,Tue Feb 02 23:56:06 +0000 2016
13,A tool to automate your blog! https://t.co/Hs0smTCCHJ,241378531,_AutomaticBlog,2325,Fine Brothers Ditch Plans to Trademark 'React' #Videos https://t.co/FIAbl17IQd,Sat Jan 22 03:34:24 +0000 2011,False,694670655036354560,1705,WorldWide,15761,2325,1100,0,593,Tue Feb 02 23:56:05 +0000 2016
14,"Musician, Tech Enthusiast, Police Supporter, Proud #HootOwl and #Royalist",2366109390,Foxtrot4978,1105,"I liked a @YouTube video from @steviecyb https://t.co/BVvjSaAuIS Fine Brothers ""Update"" Response Video Part Two",Fri Feb 28 21:25:56 +0000 2014,False,694670638192181253,479,Milwaukee USA / 414,22148,1105,8004,0,18,Tue Feb 02 23:56:01 +0000 2016
15,"50% Ghost
50% Smoke",2969313257,hufflepuffnstuf,39,@Vagoomy the fine bros hashed out a formal apology and gave up what they were doing. https://t.co/u91hUXZVcm,Fri Jan 09 07:01:28 +0000 2015,False,694670528297209856,27,South Nowhere,3802,39,1176,0,5,Tue Feb 02 23:55:34 +0000 2016
16,-Taken -Pizza rules -Stay weird,4691515536,hailpizza6667,44,"RT @itsDanBull: Regarding the Fine Brothers, this looks pretty damning. Ellen showed some old stuff to kids and Fine Bros did this: https:/…",Fri Jan 01 20:37:21 +0000 2016,False,694670406767120384,14,"Morgantown, WV",19,44,6,1098,0,Tue Feb 02 23:55:05 +0000 2016
17,,3739579395,FlowGunnerYT,4,The Fine Brothers Apologizes to YouTube | Commentary - Rant: https://t.co/8vl8FCRiSG via @YouTube,Tue Sep 22 14:29:22 +0000 2015,False,694670375100088320,3,,77,4,0,0,0,Tue Feb 02 23:54:58 +0000 2016
18,follow @thinranch and feel the bern OU '19 https://t.co/iVeV6oSa6V,1069237734,wheelzforreelz,231,how did the fine brothers think they could trademark the word react lmao,Mon Jan 07 21:42:40 +0000 2013,False,694670370880757760,175,,6498,231,4361,0,1,Tue Feb 02 23:54:57 +0000 2016
19,Gamer. Hobby Youtuber. Sometimes Twitch streamer. Lover of music. Smart ass.,569704612,MooseJuice81,192,"RT @JamesUrbaniak: Mast Brothers, Fine Brothers, seems the only brothers you can trust these days are the Venture Brothers! Season 6 airing…",Thu May 03 05:14:40 +0000 2012,False,694670320859353088,71,"Tanacross,Ak",233,192,386,82,0,Tue Feb 02 23:54:45 +0000 2016
20,New account for @joshosgirl // Wife of @Wynterlegend and Mother of Cats  // #Gamergate #NotYourShield Avatar comm. by @Yeefi,3101580216,WynterWyfe,685,“A message from the Fine Brothers” by Fine Brothers Ent. https://t.co/0L6JdykWwh,Sat Mar 21 13:26:55 +0000 2015,False,694670166509146112,666,US,18459,685,20176,0,46,Tue Feb 02 23:54:08 +0000 2016
21,"College Student at Ball State University, Nerdfighter, Feminist, Activist, Gamma Rho Lambda. Live for today!",33129678,alyssavanskyock,1376,RT @hankgreen: The Fine Brothers Controversy Explained - Long Version: https://t.co/7szKGNcpGL Short Version: https://t.co/6ef8VBm0RG,Sun Apr 19 04:32:56 +0000 2009,False,694670048326197248,359,"Muncie, IN",5491,1376,5703,272,6,Tue Feb 02 23:53:40 +0000 2016
22,"The galaxy is strange, and so am I. Subscribe today friends. 5,859 subscribers strong.",552974473,MyFunnyBrian,19291,"@tyleroakley Tyler, what do you think about what The Fine Brothers did? I bet you hate that!",Fri Apr 13 20:06:33 +0000 2012,False,694669920299196416,24307,Subscribe!,8610,19291,4019,0,22,Tue Feb 02 23:53:09 +0000 2016
23,,1969951250,bambam03d_aris,36,"I liked a @YouTube video from @lost_pause_ https://t.co/tt49PjUk02 Noble Reacts to Fine Brothers ""React"" Trademark F*CK UP",Sat Oct 19 01:09:30 +0000 2013,False,694669803278196737,9,,1677,36,3,0,2,Tue Feb 02 23:52:42 +0000 2016
24,They call me phat phat . I'm the African that sticks my finger in your jar of peanut butter... I am also your step mother 5.19.14,55994320,lilmomominaj,1274,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sun Jul 12 02:26:29 +0000 2009,False,694669458795794436,2104,"Where The Milk Is, ATL",86122,1274,4096,3443,34,Tue Feb 02 23:51:19 +0000 2016
25,-Brand new day time to raise my voice and make the demons run!  Time to stare the devil in the eye and make the fucker blink!,110622558,Magnaryu,770,"@Nash076 re-read the Fine Brothers' apology.  It opens about apologizing, but doesn't actually contain an apology.",Tue Feb 02 05:37:18 +0000 2010,False,694669401417748480,196,,11484,770,74,0,1,Tue Feb 02 23:51:06 +0000 2016
26,"#Googler -Ex, love @YouTube, book junkie, coffee lover, not a morning person, magnets freak, talk about #YouTube #Creators #Video, Just started @ThePopCornWaltz",331408028,YTAditi,1468,@hankgreen explains #TheFineBros controversy very well. Long version: https://t.co/ZDb85pj4kF Short version: https://t.co/m2I0QU5q7p,Fri Jul 08 03:50:51 +0000 2011,False,694669145028300800,3182,"Manhattan, NY",2264,1468,5024,0,25,Tue Feb 02 23:50:05 +0000 2016
27,I am a bot. I am tweeting IP news. Japanese IP news: @patesalo,119973528,patesalo_e,4,Fine Brothers Cancel Their Plan To Trademark 'React' Videos Amid MASSIVE YouTube Backlash! - https://t.co/Ul5RIB7Mx7 https://t.co/YJy6GmqMM0,Fri Mar 05 03:15:07 +0000 2010,False,694668976396193793,1159,"Tokyo, JAPAN",180517,4,0,0,105,Tue Feb 02 23:49:24 +0000 2016
28,"We have all the Celebrity, Gossip, Rumor, Hollywood Gossip sites located on one Site Try it Today!.  Want to be on our site?    http://t.co/oR10yNPVqg",756245898,HollywdNewsfeed,924,Fine Brothers Cancel Their Plan To #Trademark '#React' Videos Amid MASSIVE ##YouTube Backlash! https://t.co/ydQKTSpnzS,Tue Aug 14 01:59:21 +0000 2012,False,694668923367723008,11820,"Hollywood, CA",36778,924,3637,0,101,Tue Feb 02 23:49:12 +0000 2016
29,Some know me for making 4 channels,4496745801,FrankyGamesh,47,lol good job fine brothers https://t.co/vh15BCoyRP,Tue Dec 15 23:09:53 +0000 2015,False,694668882880045056,35,"California, USA",440,47,191,0,0,Tue Feb 02 23:49:02 +0000 2016
30,this profile is for showing my favourite videos and channels￼,2866724026,DJREX__,20,We REACT™ to the Fine Brothers https://t.co/Baefbg3Nbf,Sat Nov 08 01:54:38 +0000 2014,False,694668766211231745,50,,2410,20,34,0,9,Tue Feb 02 23:48:34 +0000 2016
31,i need a pet unicorn .,3053604591,theivynguyen,102,RT @illegallyirwin: wait what happened with the fine brothers,Sun Feb 22 19:38:30 +0000 2015,False,694668697600966656,130,Narnia,1893,102,8152,11,0,Tue Feb 02 23:48:18 +0000 2016
32,"I'm just your average 26 year old guy who loves Videos Games, Movies and Anime. 
Youtube Account: http://t.co/ISeXvaoENM
Twitch Account: http://t.co/w9TrrXltZm",277797372,Manix0013,96,"https://t.co/0AZsvS2SwZ

We did it!",Wed Apr 06 01:56:52 +0000 2011,False,694668641736871936,29,California,500,96,297,0,0,Tue Feb 02 23:48:05 +0000 2016
33,The most trending blog posts as collected by Trendolizer,2831296588,Blogolizer,606,The Fine Brothers Controversy Explained https://t.co/hbOkdMWus1,Wed Oct 15 08:15:52 +0000 2014,False,694668605506592768,928,,36104,606,0,0,143,Tue Feb 02 23:47:56 +0000 2016
34,In God I Trust. Jet Setter. CPLFC ⚽️ https://t.co/pNoslRTkBc,239070619,Iretidee99,780,"RT @FreshLDRB: My path to success is really exciting.. W God on my side, my brothers around me, &amp; supporters showing love I'd be more than …",Sun Jan 16 18:56:13 +0000 2011,False,694668501978615808,1538,London.Lagos. ,90609,780,11270,8,12,Tue Feb 02 23:47:31 +0000 2016
35,,229932318,mpetrie12,91,RT @Scapes: Internet content creators REACT to The Fine Brothers' #ReactWorld! Here's @Explosm's contribution on Facebook. https://t.co/eJp…,Thu Dec 23 19:04:30 +0000 2010,False,694668256980942848,47,"Scotland, United Kingdom",60,91,14,17,1,Tue Feb 02 23:46:33 +0000 2016
36,"Hey, what's up fam? :)",799055418,Xtrendence,116,I liked a @YouTube video from @joshnichols7 https://t.co/367VaO3Xie Fine Brothers react around the world fail,Sun Sep 02 21:16:54 +0000 2012,False,694668125573349376,58,Look Behind You.,4863,116,41,0,4,Tue Feb 02 23:46:02 +0000 2016
37,"Alle leuke, grappige, hartverwarmende inleidingen zijn al in gebruik genomen.. Sorry",2343428866,instantonn,49,"Every failure is a lesson
https://t.co/3juZnzaorl via @Variety",Fri Feb 14 16:44:56 +0000 2014,False,694668086767665157,43,"Ichtegem, Belgium",447,49,72,0,0,Tue Feb 02 23:45:52 +0000 2016
38,,3276602263,jd_ernest,0,The Fine Brothers wanted to have a monopoly on reaction videos and they got caught.They abuse their fame to bully other Youtubers.,Sat Jul 11 20:06:22 +0000 2015,False,694668082887917569,7,,304,0,10,0,0,Tue Feb 02 23:45:51 +0000 2016
39,I do One Piece Dragon Ball Z and Naruto videos on YouTube.https://t.co/6t7aCQQ47w Others links http://t.co/TfGgDoP6Mb. http://t.co/Gl5uqgwTJV,3669679337,OnePieceNation1,55,Don't forgive but they sorry I just don't believe them https://t.co/3qVUVw0hhy,Wed Sep 16 01:21:54 +0000 2015,False,694667946686312449,69,Universe 6 Zou,2769,55,900,0,1,Tue Feb 02 23:45:19 +0000 2016
40,Y u looking at dis shiz?,4290696034,DrummerPlayzMC,302,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Fri Nov 27 00:19:09 +0000 2015,False,694667706038116352,137,A place on Pluto,230,302,204,3443,0,Tue Feb 02 23:44:22 +0000 2016
41,,229932318,mpetrie12,91,RT @GiveMeInternet: /pol/ on fine brothers https://t.co/yw6zZee32Z,Thu Dec 23 19:04:30 +0000 2010,False,694667622189764609,47,"Scotland, United Kingdom",60,91,14,87,1,Tue Feb 02 23:44:02 +0000 2016
42,Level Designer | Partnered with VULTRA | Guitarist for On Shoulders Of Giants,1124403246,lukeknowles83,201,I liked a @YouTube video https://t.co/OK4s8F90b0 The Fine Brothers Apologize for React World,Sun Jan 27 08:41:07 +0000 2013,False,694667601386029056,51,Australia,1515,201,955,0,1,Tue Feb 02 23:43:57 +0000 2016
43,"Hello, welcome to my random profile. I hope you all have a lovely day :)",375193755,angelinachea,2465,RT @illegallyirwin: wait what happened with the fine brothers,Sat Sep 17 17:34:51 +0000 2011,False,694667599909486593,1484,San Francisco,24789,2465,19503,11,11,Tue Feb 02 23:43:56 +0000 2016
44,"Love #UX, #Hustle, #People, #Entrepreneurship. CreativeMornings @Montreal_CM #MTLCM Staff",2670020947,huguesbelaib,917,"RT @CaseyNeistat: everyone makes mistakes, few do what's right to fix them. hats off to you

“A message from the Fine Brothers” https://t.c…",Tue Jul 22 17:10:27 +0000 2014,False,694667403536527360,344,"Montréal, Canada",2513,917,3729,485,112,Tue Feb 02 23:43:09 +0000 2016
45,Sometimes I say inappropriate things. Views are my dogs'.,96385332,weirdandfluffy,356,RT @Variety: YouTube's @thefinebros scrap 'React World' licensing plans after fan backlash https://t.co/X30eJkdcdP,Sat Dec 12 17:45:13 +0000 2009,False,694667403523923969,995,United Kingdom,9735,356,29,30,12,Tue Feb 02 23:43:09 +0000 2016
46,As I see it...,20323635,e_mendz,157,The Fine Bros continue losing subs approx. 1 per second. :-p https://t.co/dqzlnCD51W #Greed #Backlash,Sat Feb 07 18:12:48 +0000 2009,False,694667268790292480,90,,6673,157,4,0,9,Tue Feb 02 23:42:37 +0000 2016
47,"Heathen, independent, liberal, politically incorrect, Bernie Believer, autodidact, awakened, destroyer of stupidity, warrior for intellectualism. #FeelTheBern",2267911434,AlexIsAGoodName,662,"RT @amazingatheist: The Fine Brothers invented reacting to things, y'all. That's they're copyright. No one reacted to shit before they came…",Sun Dec 29 21:15:53 +0000 2013,False,694667250037583874,115,"In school, because I'm cool",1457,662,2860,55,3,Tue Feb 02 23:42:33 +0000 2016
48,"I'm just someone trying to make a difference. Stay strong. listen to my music here:  
https://t.co/6BwUaHRnyL

 RBHS 2016",150053344,jessefscott,536,RT @CaseyNewton: Today I learned! https://t.co/ytXYu1cVA5 https://t.co/OivDyYOKdy,Sun May 30 23:42:03 +0000 2010,False,694667185181102080,309,"River Bluff, SC",6641,536,1293,6,4,Tue Feb 02 23:42:17 +0000 2016
49,YouTube video is now up,3011752368,adrianacortez__,211,RT @illegallyirwin: wait what happened with the fine brothers,Sat Feb 07 00:48:34 +0000 2015,False,694667157448192000,215,"California, LA",585,211,1275,11,0,Tue Feb 02 23:42:11 +0000 2016
50,Trash. Libertarian. Glitch Artist/Surrealist. Un Chien Andalou. ENTP. Casual Dota 2 Player (aka scrub). HerrSchakal over @ FA,795669890,GlatchOrt,2250,RT @RainierOunce: Fine Brothers React To Swiftly Disappearing Relevance,Sat Sep 01 08:57:58 +0000 2012,False,694667149021945856,344,"Whiinders, Dilitrielth",3394,2250,5920,1,5,Tue Feb 02 23:42:09 +0000 2016
51,160 days,2709620609,lovlyoreo,189,RT @illegallyirwin: wait what happened with the fine brothers,Mon Jul 14 06:54:07 +0000 2014,False,694667135021404160,185,lol nope,3477,189,987,11,2,Tue Feb 02 23:42:05 +0000 2016
52,I'm that guy,131068515,Yes_that_guy,664,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Fri Apr 09 05:00:37 +0000 2010,False,694667033947017216,190,NJ,4188,664,391,3443,3,Tue Feb 02 23:41:41 +0000 2016
53,,2868265514,thefleeting,32,I liked a @YouTube video https://t.co/taFy0gnLb8 Merlin Reacts to The Fine Brothers,Mon Oct 20 22:47:55 +0000 2014,False,694666837125156864,15,,214,32,12,0,0,Tue Feb 02 23:40:54 +0000 2016
54,"Unbearable is it? The suffering of strangers, the agony of friends. There's a secret song at the center of the world and its sound is like razors through flesh",462076249,HiImRichieRich,67,I liked a @YouTube video from @peladophobian https://t.co/tXy3OrqSJB Fine Brothers are Illuminati,Thu Jan 12 14:50:57 +0000 2012,False,694666726584274944,27,,1492,67,1515,0,1,Tue Feb 02 23:40:28 +0000 2016
55,✨future juilliard student✨two years clean✨ ✨jenn is the 3po to my r2✨body posi✨ ✨intersectional feminist✨star wars and 5sos✨ #translivesmatter #blacklivesmatter,19202473,supermalumbros,2044,I don't follow the fine brothers but they're stupid as hell jfc,Mon Jan 19 21:14:38 +0000 2009,False,694666510166458368,7905,they/them ✦ demipan,506814,2044,44131,0,312,Tue Feb 02 23:39:36 +0000 2016
56,"Musician, Tech Enthusiast, Police Supporter, Proud #HootOwl and #Royalist",2366109390,Foxtrot4978,1105,"I added a video to a @YouTube playlist https://t.co/zAws7VFIkn Fine Brothers ""Update"" Response Video Part One",Fri Feb 28 21:25:56 +0000 2014,False,694666468110290946,479,Milwaukee USA / 414,22148,1105,8004,0,18,Tue Feb 02 23:39:26 +0000 2016
57,"Musician, Tech Enthusiast, Police Supporter, Proud #HootOwl and #Royalist",2366109390,Foxtrot4978,1105,"I liked a @YouTube video from @steviecyb https://t.co/zAws7VFIkn Fine Brothers ""Update"" Response Video Part One",Fri Feb 28 21:25:56 +0000 2014,False,694666447071637505,479,Milwaukee USA / 414,22148,1105,8004,0,18,Tue Feb 02 23:39:21 +0000 2016
58,,2859372870,bizlunchbox,130,The controversy is getting to fine brothers via /r/funny https://t.co/aqRr9vqNtC,Fri Oct 17 04:35:07 +0000 2014,False,694666411705106432,939,,842173,130,24,0,316,Tue Feb 02 23:39:13 +0000 2016
59,"singer/songwriter, music producer, fashion designer, cosplayer, and superstar of MTV's True Life ❤️ #SPNFamily #TeamAdrienne #vegan #spiritjunkie",15784223,adorpheus,137,RT @GinnyMcQueen: Why We Are Angry At The Fine Brothers https://t.co/KCnH2m2e1p #FineBros #FineBrosNotSoFine https://t.co/xXah0YuZ8w,Fri Aug 08 23:11:58 +0000 2008,False,694666387650838528,374,"Los Angeles, CA",14147,137,2626,2,44,Tue Feb 02 23:39:07 +0000 2016
60,Just a regular guy with over 300 million views on Youtube- Proud Youtuber,276647832,LandonYoutube,154,RT @nfadzn: I liked a @YouTube video from @landonyoutube https://t.co/vWdc8Eqs2H FINE BROTHERS WANTS TO ATTACK EVERYONE'S REACTION VIDEOS,Sun Apr 03 20:00:40 +0000 2011,False,694666344680148992,5904,,5013,154,3241,1,19,Tue Feb 02 23:38:57 +0000 2016
61,Just a regular guy with over 300 million views on Youtube- Proud Youtuber,276647832,LandonYoutube,154,RT @ReadTextMsg: I liked a @YouTube video from @landonyoutube https://t.co/sWtOzPlgQL FINE BROTHERS WANTS TO ATTACK EVERYONE'S REACTION VID…,Sun Apr 03 20:00:40 +0000 2011,False,694666314565025792,5904,,5013,154,3241,1,19,Tue Feb 02 23:38:50 +0000 2016
62,Just a regular guy with over 300 million views on Youtube- Proud Youtuber,276647832,LandonYoutube,154,RT @maxsteel0529: I liked a @YouTube video from @landonyoutube https://t.co/LteyhI5Uwx FINE BROTHERS WANTS TO ATTACK EVERYONE'S REACTION VI…,Sun Apr 03 20:00:40 +0000 2011,False,694666303953448960,5904,,5013,154,3241,1,19,Tue Feb 02 23:38:47 +0000 2016
63,Just a regular guy with over 300 million views on Youtube- Proud Youtuber,276647832,LandonYoutube,154,RT @ReniiBoo2: I liked a @YouTube video from @landonyoutube https://t.co/LNhW9gAebs FINE BROTHERS WANTS TO ATTACK EVERYONE'S REACTION VIDEOS,Sun Apr 03 20:00:40 +0000 2011,False,694666294243651584,5904,,5013,154,3241,1,19,Tue Feb 02 23:38:45 +0000 2016
64,-Brand new day time to raise my voice and make the demons run!  Time to stare the devil in the eye and make the fucker blink!,110622558,Magnaryu,770,"@AlphaOmegaSin I re-read the ""apology"" letter from the Fine Brothers.  They didn't actually fucking apology for anything.  sneaky fuckers.",Tue Feb 02 05:37:18 +0000 2010,False,694666206628954112,196,,11484,770,74,0,1,Tue Feb 02 23:38:24 +0000 2016
65,"Comedian. Work in perpetual progress. Host of The S. Anthony Says Podcast
@santhonysays #BeautifulBastids
Please buy show stuff here: https://t.co/ViQejvTc8k",51245152,santhonythomas,6086,YouTube’s Fine Brothers Scrap ‘React’ Licensing Plans After Fan Backlash https://t.co/7QIHLIdZqx via @Variety,Fri Jun 26 21:59:56 +0000 2009,False,694666083324796928,8162,U.S.,75543,6086,87130,0,547,Tue Feb 02 23:37:55 +0000 2016
66,FollowsBack!,572024575,ShitGrownupsSay,609,RT NaziJokes11: The controversy is getting to fine brothers #funny #LOL https://t.co/uFH1Uf1cUh,Sat May 05 19:50:30 +0000 2012,False,694665909294755841,1403,,263250,609,0,0,1448,Tue Feb 02 23:37:13 +0000 2016
67,"A gamer who loves Anime, Cartoons, DC/Marvel. I do LPs on YouTube & RP on Twitter. Noming on my wifey @LeahThePooh's juicy tomatoes
#FrostBite #TurnDownForWhat",1413740179,QuakesGameSpot,1684,Yeah I don't think the Fine Brothers will ever fully recover after that fiasco.,Wed May 08 20:08:41 +0000 2013,False,694665827925266434,1593,"Magnolia Town, Fiore",62558,1684,19906,0,40,Tue Feb 02 23:36:54 +0000 2016
68,最新のニュースを自動でツイートします / 無償フォロ爆、相互フォロ爆やってます @FollowCrypt にリプください / 1時間に100ツイートぐらいするのでミュート推奨,4815393629,TeslaCrypt,1,The controversy is getting to fine brothers via /r/funny https://t.co/YZZsGH8AzZ,Fri Jan 15 15:43:04 +0000 2016,False,694665824972492802,211,"Road to 100,000 tweets",68274,1,39,0,44,Tue Feb 02 23:36:53 +0000 2016
69,,2258156846,OClaire1029671,185,The controversy is getting to fine brothers,Sun Dec 22 21:42:51 +0000 2013,False,694665793888481281,941,Scottsdale,919756,185,33,0,166,Tue Feb 02 23:36:46 +0000 2016
70,good girls don't make history,3065938746,lumierelester,655,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Sat Mar 07 05:58:35 +0000 2015,False,694665663097405440,698,hell probably,4093,655,6137,3443,3,Tue Feb 02 23:36:15 +0000 2016
71,Follow to Fun Yourself,4343177834,NaziJokes11,376,The controversy is getting to fine brothers #funny #LOL https://t.co/gEaOH6KUSV,Tue Nov 24 08:49:18 +0000 2015,False,694665662904602625,397,"Earth, Milky Way",81455,376,0,0,77,Tue Feb 02 23:36:14 +0000 2016
72,I wish I could be Amy Pond.... Buuut im not... Also Troye Sivan is my bae,818718180,OmfgTroyeBoy,213,RT @hankgreen: The Fine Brothers Controversy Explained - Long Version: https://t.co/7szKGNcpGL Short Version: https://t.co/6ef8VBm0RG,Wed Sep 12 03:10:38 +0000 2012,False,694665656688443393,147,Not on Mars that's for sure,4245,213,8565,272,3,Tue Feb 02 23:36:13 +0000 2016
73,I make videos and upload them to youtube.,4093771877,blueUmbrellaYT,7,Fine Brothers: https://t.co/dvQWypCd5S via @YouTube,Mon Nov 02 01:00:20 +0000 2015,False,694665585846796295,6,,104,7,191,0,0,Tue Feb 02 23:35:56 +0000 2016
74,,159253694,GALLERIAS,1825,@Gallerias Fine Brothers Cancel Their Plan To Trademark 'React' Videos Amid MASSIVE YouTube… https://t.co/OUMQvQQ5kA,Thu Jun 24 22:04:25 +0000 2010,False,694665582814367744,1085,Indonesia,97781,1825,4,0,46,Tue Feb 02 23:35:55 +0000 2016
75,"Proud owner of a 2016 Civic Raised as a Gentleman IG:Josh173 Future Airman! love country music
#Bobcatfamily",38379792,josh_73,1016,RT @craigbob99: I put some chemicals in a beaker... they refused to react because they didn't want to be sued by the Fine brothers #RealTim…,Thu May 07 05:48:23 +0000 2009,False,694665567765024770,354,San Antonio TX ,4650,1016,895,21,5,Tue Feb 02 23:35:52 +0000 2016
76,Ex-ator de curtas e atualmente o único estudante de engenharia que não frequenta carreteiros da vida e Degrau.,43575374,GustavoSCosta,104,"""Pop pop pop, watchin subscriberz drop"" - Fine Brothers",Sat May 30 19:06:10 +0000 2009,False,694665552074293251,51,Pelotas,1452,104,557,0,1,Tue Feb 02 23:35:48 +0000 2016
77,"Father, husband, avid cycling fan and Regional Manager for Bank of Ireland's South East region",2555701577,josephmadigan,624,Fine Brothers Cancel Their Plan To Trademark 'React' Videos Amid MASSIVE YouTube Backlash! https://t.co/PWeItMpW7O,Tue May 20 19:08:57 +0000 2014,False,694665331101560833,140,"Dublin City, Ireland",460,624,151,0,2,Tue Feb 02 23:34:55 +0000 2016
78,"I'm 30, not dead.. Wife. Mom. Catlady. Fitchic. Taurus. KCCO",19327429,shandal,250,“A message from the Fine Brothers” by Fine Brothers Ent. https://t.co/qrTuG1iHzf Good call!,Thu Jan 22 05:23:15 +0000 2009,False,694665306887684096,325,"Kansas City, MO",7769,250,123,0,15,Tue Feb 02 23:34:50 +0000 2016
79,ILUSTRATOR/GAMER/BRONY. I love the retro / indie / fangame / classic games.,4641938595,TheDraconequusG,3295,RT @thefinebros: A message from us. https://t.co/MmR2ngVK1c …,Tue Dec 29 10:16:45 +0000 2015,False,694665270888132609,551,"Cambados, Galicia",530,3295,217,3443,1,Tue Feb 02 23:34:41 +0000 2016
80,,1351362576,ArturMallmann,126,RT @Scapes: Internet content creators REACT to The Fine Brothers' #ReactWorld! Here's @Explosm's contribution on Facebook. https://t.co/eJp…,Sun Apr 14 08:47:48 +0000 2013,False,694665270489653248,38,,47,126,115,17,0,Tue Feb 02 23:34:41 +0000 2016
81,Barista.,42431010,edmundgeorge,222,#FineBros unfollowers live counter. Fucking hell. https://t.co/F0KEhuNhvn That's fast.,Mon May 25 16:04:46 +0000 2009,False,694665201447231488,208,,33141,222,505,0,6,Tue Feb 02 23:34:24 +0000 2016
